type	scope	path	kind	size_bytes	sha256	git_object	text_searchable
JSON	CORE	config/recursive_alignment_index.json	file	1327	200644ef7214d3270239541a84a46dba4ccad820d4bfe80838ef481bdaff408b	1db2b978577b5a2cf092e8fc818ddf4758036b44	1
JSON	CORE	config/recursive_alignment_manifest.json	file	645	aa23db6d6fe6ec16a8cbab145df4145df0645b8ce35bc68c8d02b5e6490b9540	8fb81a1af5650e9e25a60455a38b84beefc1b41e	1
JSON	CORE	handover/CURRENT.json	file	245	989042267b89ea54953831dafaefaf9408a8db600b674ae927a56b0dbf2bf696	2ee1b5f0b1022a25bc54894c5d53efa4eb66257e	1
JSON	CORE	input/MASTER_numbered_outline.json	file	18587	e8db1285ad7029bdd54bdfb45016cae6244e8821eab46616fbce3ceab9d71034	4d326195c24d81a852103eb13ab4ea26bb1ba8fa	1
JSON	CORE	input/MASTER_outline.json	file	14257	2df56c70e2f30160e2955d23fec760b6854d8e10786de5e149d78815e7d84ed8	a72093dbf6deeafce43d8a823af21efdcfe5d7a6	1
JSON	CORE	logs/update_report_20250523_185808.json	file	376	3524473f365120a0b67ff3af17875807396cc2e201958eed1cf4f6d2d7a85fb2	e8dd1a499da9e514c2b16c33e7ef2d1a495a51ea	1
JSON	CORE	orchestration_ts/package.json	file	1113	973a5ce1ac9fcf42423f0424208cc729ae114658c1ee95d58dd28492d3cd69d9	41a16e0a0817f97dd2c554139c85ddf41c366b6a	1
JSON	CORE	orchestration_ts/tsconfig.json	file	521	c33dc505a2957fe0f2bb593cb1955307357372b8a68505efe3824d2eefed78d0	e2773386ad4d923a8e621a01132ffcf23449ca51	1
JSON	CORE	schemas/adr_ocd_bridge_manifest.schema.json	file	2724	1ba8eeb62aa3f5f803701df8b6e5ae2333adf44fa28719f1d3fa47ed255f7abe	2ee60b1ff855576d43b935ca7e94a253637ea742	1
JSON	CORE	schemas/federation.schema.json	file	286	78748d35703e17cdda7afc631aeeb09050a2776360d3bfcee92805986760997f	96e625c2185c84f5e2a2c5113a84ab904a2d2c27	1
JSON	CORE	schemas/glossary.schema.json	file	1600	4f41221dd8222a9b100c53c6af4642ee2a9e778d0b851ec6e8490318ecd4cc19	3d8d70975838f4d05fd02418b1b76a6c90fb63da	1
JSON	CORE	schemas/handover.schema.json	file	288	31d732f41381751175027bfecd536d027067f485f67a232aed7cf269ca7ee2e8	464ecf954758366cbbc4c07af0af571d3397862e	1
JSONL	CORE	data/my_requests.jsonl	file	861	17f71e22e82fe4edc767ba6dbddb43be75d0059cbb7d83fbf10d79f5d2e7cf85	8ccfb7b9f2e69179af943bc8a31836056a651a44	0
JSONL	CORE	data/my_results.jsonl	file	11551	f966b8466a0dce4b673858bd223703357e2dfa31f9376badbb73271165b01b5f	56f853dab1118d1c31e8407be3ccfc8a625107ea	0
License	CORE	LICENSE	file	1084	205dba11090e6505c24831c2ecd77264c287c2cb2f4887523470075c216e2f8d	09605be45c64a53d6c99fdb7eb1639443c3e1b5b	0
LUA	CORE	config/extend_headings.lua	file	2966	9463d979001dc734f25a6d866e47a07649e07ecbdc13082322aa605f816deb39	5214f5d578203b497db34831b0c787c09b884d5d	0
LUA	CORE	config/extract_rtm.lua	file	8216	0176d38f33f98bf576e606943088f75f933796e8b22e497104da160aa6182084	c57ba37f35201f299a55607f4a6b90b7db72d67a	0
LUA	CORE	config/filters/extend_headings.lua	file	6239	539c5cc9b764e71bbd3051ddf3ebcfd1cbafb2f53691e2efa1f58e4fb3c4a554	6045e9764dd688d581fcb95549ee9a8293e060c6	0
LUA	CORE	config/filters/rtm_filter.lua	file	2973	e2a4d52a9a638bcff5c96c876767bf24b7a4a63e3865f6e45f256070fc86e3b1	be819788d743a4e52d6e6ef6ff7e91d1482a4a31	0
LUA	CORE	config/structure_extraction.lua	file	6007	e9032b259c2616fb5cdd2edfed8813314adfa7db506126acd65cc1bd81a1d9fb	597c4fa897fe51de0d38c4cb88bbf47f3c75268b	0
Makefile	CORE	Makefile	file	2318	6150b75dcdb1494acbc50705049723c8410933fd9832baac5da3803942532804	b8d0933db6a777aadde236c19b74883c507d4eb6	1
Markdown	CORE	# Code Citations.md	file	6725	b91bd2338e6cde627a9d6026b051c1e9737637580d988a4b0c76408c6703f8c2	a1fad2d60a29ad876ff30dd0041554695b8d9cb2	1
Markdown	CORE	.github/copilot-instructions.md	file	11467	ef509a5913db52af445216765f755753d6bc1e1f1463511dee0798936aa3a337	b407510efaca1327e7397b85408a6ab1739abe63	1
Markdown	CORE	ACHIEVEMENT_SUMMARY.md	file	7707	356f15d1cc24b2a69ecbee8265e9ccd00d326f8c826925dad0789d92a3dedaec	682b80fcbe1b339d319f334a97e02516dba774ca	1
Markdown	CORE	ACHIEVEMENTS.md	file	6957	cdbb7a5220f6dbea0106e1e4fe66a3a3be7e78a46f71365c5147df96b42024c5	d837ccb8fcd8c96f1961a412a122bc46710b72d3	1
Markdown	CORE	AGENT_ENTRYPOINT.md	file	1208	34af3d36d6e2d742226e219505fc945b9a0ff6aa4edcb4d4aa4935aed593517c	41ca6ee34c8961142ed04a4892de2d7d5248bd40	1
Markdown	CORE	ARIANA_CLARIFICATION.md	file	2900	75d0babe07ccf8e6c52d80793ed9344aafb4ff53f1da15124663ac49f464c146	7ed6c5600b002013746ee7d4c10126e89600f30e	1
Markdown	CORE	baseline/README.md	file	471	9d3d942e1990a787534062fb73bfacfed4325d7a43db7386298bc97c679d8f43	fad26e87c5a8fc18dcddc92d7f0c30e5339b26ab	1
Markdown	CORE	canonical/POINTER.md	file	931	ae3ba30829c8dee1bf8c1e3c4c38c96e57d9eb947807263b31157c980be37fe2	662db05c8aa76b102493df214af6993a34f32cb0	1
Markdown	CORE	canonical/README.md	file	3294	de27436e4314d514055769a9c0b693ae0523b7a8581d3fb037f095c3184abb4f	cf6d566a13e51c7dce86a6e8189ca632fb319084	1
Markdown	CORE	canonical/REPORT.md	file	1046	7a11cfaca18b44478f67dbb821e350b4593ab8bd3551e04915dff22a29fa24bf	a969f27c80eee30db4d04877562df81533135370	1
Markdown	CORE	CHANGELOG.md	file	4169	ec0660cbd3b407901da7d4439a55065985222f5b1eee5e60c1ef13f18ac5ba7d	49c695acba9c4a869965f6b94140f6d9b54457fc	1
Markdown	CORE	code/COMMON code snippts.md	file	3482	dc779a07df2a3f0eb683bb9e83ad05695672893b582a2bf69d336871cf563266	7c888adfb447d855744d63e611b631c076021f98	1
Markdown	CORE	comprehensive_git_github_guide.md	file	13514	904205ce367d75ea6fd60bf1ff856ab68cc4ea124ef4fd82c2c6572f2bd91995	799407eb27b61b155eb643f3eb9a0632d55bf9bd	1
Markdown	CORE	data/rtm_dmaic.md	file	2450	cb42d685473a64965e27f7fd10924f86ac8127db3b1d043daa15a103dfd4c4c1	07f5a77fd1da9342ac281e136a85902ef65062a4	1
Markdown	CORE	DIAGNOSTIC_SUMMARY.md	file	6659	17b0ed4788844acfebbdd029d4bc7ef248fa0044246594f3566e4eaf58e1960c	c5afd9f5241fb3ecb4e6f7a28d188665b65969f3	1
Markdown	CORE	docs/# Code Citations.md	file	2136	957f75ad151837000fdf190d486e7644dd6e87fb024fcd0857a2dfa5f19d367d	b41b04b449b628b7125dc8d1b521ac03dd07b035	1
Markdown	CORE	docs/# Commit Summary.md	file	552	1705b4b8cdb11633a8222958a63b54830f14d5b5ca78eb8c2839dca6e4bf9bd4	f11aecba3f0fa9bb09c726592dd0b00e4c9e6b84	1
Markdown	CORE	docs/AGENT_README.md	file	709	a63c33d070aac3f4630b45bad7628f79bcbdfd08df4fe62d16898f45aebc3a80	afa80ebccbbf09b7ffd97d7d0809f60b2b105a62	1
Markdown	CORE	docs/CANONICAL_SSOT.md	file	528	14fa349a4c8814d6d8d6bfb7cac7cc3d4c3e2aad93c6f4802c39a373f2fdbf57	1c9644810e90754874c0d55816cc38e3b0179423	1
Markdown	CORE	docs/command_options_guide.md	file	2405	53548d5c24af3716cf602dab513fd17483d3e8b838b37e628499a95d35ec42eb	bcd1cd3cd71272533d7f806867c5b39955b4e4c2	1
Markdown	CORE	docs/debug_fix_guide.md	file	3004	e2ddd114a9f415fd4464be2ff65293f4374eb3a23f8df3be0046bf8fda5871ab	11226e93baea9116f4451b0366e6c0785be57c49	1
